time (days),flux (ppm),flux err (ppm)
-0.09920848819444443,1003676.8860170215,36.29438513961452
-0.09762546458333334,1003671.2314009139,36.29438513961452
-0.0960424409722222,1003665.5819861423,36.29438513961452
-0.09445941736111109,1003659.9378841325,36.29438513961452
-0.09287639374999998,1003654.2992051357,36.29438513961452
-0.09129337013888886,1003648.666058327,36.29438513961452
-0.08971034652777775,1003643.0029590818,36.29438513961452
-0.08812732291666663,1003637.3456690598,36.29438513961452
-0.08654429930555552,1003631.7298395706,36.29438513961452
-0.0849612756944444,1003626.1199718002,36.29438513961452
-0.08337825208333328,1003620.5161712467,36.29438513961452
-0.08179522847222216,1003614.9185430342,36.29438513961452
-0.08021220486111105,1003609.3271920321,36.29438513961452
-0.07862918124999993,1003603.7069025009,36.29438513961452
-0.07704615763888882,1003598.0931688995,36.29438513961452
-0.0754631340277777,1003592.5213620899,36.29438513961452
-0.07388011041666659,1003586.9562531176,36.29438513961452
-0.07229708680555547,1003581.3979473349,36.29438513961452
-0.07071406319444434,1003575.8465505169,36.29438513961452
-0.06913103958333323,1003570.3021689581,36.29438513961452
-0.06754801597222211,1003564.7298942045,36.29438513961452
-0.065964992361111,1003559.1649263634,36.29438513961452
-0.06438196874999988,1003553.6423284548,36.29438513961452
-0.06279894513888877,1003548.1271792735,36.29438513961452
-0.061215921527777654,1003542.6195889327,36.29438513961452
-0.05963289791666654,1003537.119668491,36.29438513961452
-0.05804987430555542,1003531.62752999,36.29438513961452
-0.05646685069444431,1003526.108609972,36.29438513961452
-0.05488382708333319,1003520.5977844753,36.29438513961452
-0.053300803472222075,1003515.129777864,36.29438513961452
-0.05171777986111095,1003509.6700131266,36.29438513961452
-0.050134756249999836,1003504.218607482,36.29438513961452
-0.04855173263888872,1003498.7756791548,36.29438513961452
-0.046968709027777604,1003493.3413473441,36.29438513961452
-0.04538568541666649,1003487.8814302441,36.29438513961452
-0.04380266180555537,1003482.430445041,36.29438513961452
-0.042219638194444256,1003477.0227412198,36.29438513961452
-0.04063661458333314,1003471.624121014,36.29438513961452
-0.039053590972222024,1003466.23470767,36.29438513961452
-0.03747056736111091,1003439.9446845434,36.29438513961452
-0.03588754374999979,1003305.9365354744,36.29438513961452
-0.034304520138888676,1003086.0622605303,36.29438513961452
-0.03272149652777756,1002727.8371392848,36.29438513961452
-0.031138472916666445,1002252.9199961638,36.29438513961452
-0.02955544930555533,1001725.514274017,36.29438513961452
-0.027972425694444213,1001230.3742408621,36.29438513961452
-0.026389402083333097,1000798.9299357258,36.29438513961452
-0.02480637847222198,1000452.3612790422,36.29438513961452
-0.023223354861110865,1000203.9887160915,36.29438513961452
-0.02164033124999975,1000040.3204526257,36.29438513961452
-0.020057307638888633,1000000.0,36.29438513961452
-0.018474284027777517,1000000.0,36.29438513961452
-0.0168912604166664,1000000.0,36.29438513961452
-0.015308236805555285,1000000.0,36.29438513961452
-0.013725213194444169,1000000.0,36.29438513961452
-0.012142189583333051,1000000.0000000003,36.29438513961452
-0.010559165972221935,1000000.0,36.29438513961452
-0.00897614236111082,1000000.0,36.29438513961452
-0.007393118749999704,1000000.0,36.29438513961452
-0.005810095138888588,1000000.0,36.29438513961452
-0.004227071527777471,1000000.0,36.29438513961452
-0.002644047916666355,1000000.0,36.29438513961452
-0.0010610243055552387,1000000.0000000003,36.29438513961452
0.0005219993055558776,1000000.0,36.29438513961452
0.002105022916666994,1000000.0,36.29438513961452
0.0036880465277781102,1000000.0,36.29438513961452
0.005271070138889227,1000000.0,36.29438513961452
0.0068540937500003426,1000000.0,36.29438513961452
0.00843711736111146,1000000.0,36.29438513961452
0.010020140972222575,1000000.0000000003,36.29438513961452
0.011603164583333691,1000000.0,36.29438513961452
0.013186188194444807,1000000.0,36.29438513961452
0.014769211805555923,1000000.0,36.29438513961452
0.01635223541666704,1000000.0,36.29438513961452
0.017935259027778157,1000000.0,36.29438513961452
0.019518282638889273,1000000.0,36.29438513961452
0.02110130625000039,1000013.2357811158,36.29438513961452
0.022684329861111505,1000134.2705386981,36.29438513961452
0.024267353472222624,1000341.1794903422,36.29438513961452
0.02585037708333374,1000593.9044170288,36.29438513961452
0.027433400694444856,1000873.070552401,36.29438513961452
0.029016424305555972,1001166.3384788709,36.29438513961452
0.030599447916667088,1001462.2747542225,36.29438513961452
0.03218247152777821,1001771.9989492883,36.29438513961452
0.03376549513888932,1002160.4619731887,36.29438513961452
0.03534851875000044,1002639.274190205,36.29438513961452
0.036931542361111555,1003064.4266118964,36.29438513961452
0.03851456597222267,1003215.0919845896,36.29438513961452
0.04009758958333379,1003210.652035845,36.29438513961452
0.0416806131944449,1003205.879388709,36.29438513961452
0.04326363680555602,1003201.0909071427,36.29438513961452
0.044846660416667135,1003196.316859508,36.29438513961452
0.04642968402777825,1003191.5872420239,36.29438513961452
0.04801270763888937,1003186.8720303231,36.29438513961452
0.04959573125000048,1003182.1712862869,36.29438513961452
0.0511787548611116,1003177.4850723823,36.29438513961452
0.052761778472222715,1003172.8134517818,36.29438513961452
0.05434480208333383,1003168.1270764666,36.29438513961452
0.055927825694444946,1003163.4555794691,36.29438513961452
0.05751084930555606,1003158.8283141267,36.29438513961452
0.05909387291666718,1003154.2159048197,36.29438513961452
0.060676896527778294,1003149.6184197875,36.29438513961452
0.06225992013888941,1003145.0359285261,36.29438513961452
0.06384294375000053,1003140.4685018427,36.29438513961452
0.06542596736111164,1003135.8874644497,36.29438513961452
0.06700899097222277,1003131.3217986942,36.29438513961452
0.06859201458333387,1003126.8001983259,36.29438513961452
0.070175038194445,1003122.2939606407,36.29438513961452
0.0717580618055561,1003117.803163506,36.29438513961452
0.07334108541666723,1003113.3278862146,36.29438513961452
0.07492410902777834,1003108.868209462,36.29438513961452
0.07650713263888946,1003104.3961556214,36.29438513961452
0.07809015625000057,1003099.9400350386,36.29438513961452
0.07967317986111169,1003095.5278587107,36.29438513961452
0.0812562034722228,1003091.1316199802,36.29438513961452
0.08283922708333392,1003086.7514058431,36.29438513961452
0.08442225069444503,1003082.3873043327,36.29438513961452
0.08600527430555616,1003078.0394044229,36.29438513961452
0.08758829791666728,1003073.6804501446,36.29438513961452
0.08917132152777839,1003069.3380516343,36.29438513961452
0.09075434513888951,1003065.039507263,36.29438513961452
0.09233736875000065,1003060.7575287404,36.29438513961452
