time (days),flux (ppm),flux err (ppm)
-0.09920848819444443,999666.2281997851,36.395766103691656
-0.09762546458333334,999008.639203462,36.395766103691656
-0.0960424409722222,998353.4609975703,36.395766103691656
-0.09445941736111109,997700.7073395677,36.395766103691656
-0.09287639374999998,997050.391743789,36.395766103691656
-0.09129337013888886,996402.5275016853,36.395766103691656
-0.08971034652777775,995753.0533997497,36.395766103691656
-0.08812732291666663,995106.0829311592,36.395766103691656
-0.08654429930555552,994465.68219155,36.395766103691656
-0.0849612756944444,993827.7843324177,36.395766103691656
-0.08337825208333328,993192.4018569208,36.395766103691656
-0.08179522847222216,992559.5471790163,36.395766103691656
-0.08021220486111105,991929.2326460982,36.395766103691656
-0.07862918124999993,991297.5082608152,36.395766103691656
-0.07704615763888882,990668.3758054285,36.395766103691656
-0.0754631340277777,990045.7881566162,36.395766103691656
-0.07388011041666659,989425.7899699765,36.395766103691656
-0.07229708680555547,988808.3935825062,36.395766103691656
-0.07071406319444434,988193.611387743,36.395766103691656
-0.06913103958333323,987581.4558525985,36.395766103691656
-0.06754801597222211,986968.0930813731,36.395766103691656
-0.065964992361111,986357.4103094898,36.395766103691656
-0.06438196874999988,985753.2443224703,36.395766103691656
-0.06279894513888877,985151.7560452506,36.395766103691656
-0.061215921527777654,984552.9585123239,36.395766103691656
-0.05963289791666654,983956.8648990691,36.395766103691656
-0.05804987430555542,983363.4885265171,36.395766103691656
-0.05646685069444431,982769.1162387833,36.395766103691656
-0.05488382708333319,982177.5173894155,36.395766103691656
-0.053300803472222075,981592.4091521602,36.395766103691656
-0.05171777986111095,981010.0730975954,36.395766103691656
-0.050134756249999836,980430.5232770306,36.395766103691656
-0.04855173263888872,979853.7738730953,36.395766103691656
-0.046968709027777604,979279.8391902592,36.395766103691656
-0.04538568541666649,978705.1311105441,36.395766103691656
-0.04380266180555537,978133.2968443374,36.395766103691656
-0.042219638194444256,977567.9294619851,36.395766103691656
-0.04063661458333314,977005.4351674835,36.395766103691656
-0.039053590972222024,976445.8286681258,36.395766103691656
-0.03747056736111091,972844.489441955,36.395766103691656
-0.03588754374999979,952754.0622430063,36.395766103691656
-0.034304520138888676,914374.0313397724,36.395766103691656
-0.03272149652777756,845727.8523808633,36.395766103691656
-0.031138472916666445,751263.3653109836,36.395766103691656
-0.02955544930555533,645959.9341030626,36.395766103691656
-0.027972425694444213,550343.0598426015,36.395766103691656
-0.026389402083333097,470568.1895933851,36.395766103691656
-0.02480637847222198,410506.8977223371,36.395766103691656
-0.023223354861110865,371535.3781153856,36.395766103691656
-0.02164033124999975,347605.45707226143,36.395766103691656
-0.020057307638888633,341731.3917179456,36.395766103691656
-0.018474284027777517,341731.3917179456,36.395766103691656
-0.0168912604166664,341731.3917179456,36.395766103691656
-0.015308236805555285,341731.3917179456,36.395766103691656
-0.013725213194444169,341731.3917179456,36.395766103691656
-0.012142189583333051,341731.3917179457,36.395766103691656
-0.010559165972221935,341731.3917179456,36.395766103691656
-0.00897614236111082,341731.3917179456,36.395766103691656
-0.007393118749999704,341731.3917179456,36.395766103691656
-0.005810095138888588,341731.3917179456,36.395766103691656
-0.004227071527777471,341731.3917179456,36.395766103691656
-0.002644047916666355,341731.3917179456,36.395766103691656
-0.0010610243055552387,341731.3917179457,36.395766103691656
0.0005219993055558776,341731.3917179456,36.395766103691656
0.002105022916666994,341731.3917179456,36.395766103691656
0.0036880465277781102,341731.3917179456,36.395766103691656
0.005271070138889227,341731.3917179456,36.395766103691656
0.0068540937500003426,341731.3917179456,36.395766103691656
0.00843711736111146,341731.3917179456,36.395766103691656
0.010020140972222575,341731.3917179457,36.395766103691656
0.011603164583333691,341731.3917179456,36.395766103691656
0.013186188194444807,341731.3917179456,36.395766103691656
0.014769211805555923,341731.3917179456,36.395766103691656
0.01635223541666704,341731.3917179456,36.395766103691656
0.017935259027778157,341731.3917179456,36.395766103691656
0.019518282638889273,341731.3917179456,36.395766103691656
0.02110130625000039,345294.15999519016,36.395766103691656
0.022684329861111505,377878.67811949365,36.395766103691656
0.024267353472222624,431918.8431701212,36.395766103691656
0.02585037708333374,491618.53566517105,36.395766103691656
0.027433400694444856,551057.5374066296,36.395766103691656
0.029016424305555972,607559.054361966,36.395766103691656
0.030599447916667088,657973.4226557948,36.395766103691656
0.03218247152777821,705400.2973730282,36.395766103691656
0.03376549513888932,768238.8875510752,36.395766103691656
0.03534851875000044,850521.2521711694,36.395766103691656
0.036931542361111555,925560.9081937285,36.395766103691656
0.03851456597222267,952722.1781001881,36.395766103691656
0.04009758958333379,952382.5365453985,36.395766103691656
0.0416806131944449,951984.7321424676,36.395766103691656
0.04326363680555602,951587.7337680385,36.395766103691656
0.044846660416667135,951194.0600022485,36.395766103691656
0.04642968402777825,950806.1667964464,36.395766103691656
0.04801270763888937,950421.5653761761,36.395766103691656
0.04959573125000048,950040.2569328224,36.395766103691656
0.0511787548611116,949662.2428283797,36.395766103691656
0.052761778472222715,949287.5246161326,36.395766103691656
0.05434480208333383,948913.7673049069,36.395766103691656
0.055927825694444946,948543.3445479594,36.395766103691656
0.05751084930555606,948178.5673266157,36.395766103691656
0.05909387291666718,947817.0945027446,36.395766103691656
0.060676896527778294,947458.928830523,36.395766103691656
0.06225992013888941,947104.073336559,36.395766103691656
0.06384294375000053,946752.5313253063,36.395766103691656
0.06542596736111164,946402.1165235074,36.395766103691656
0.06700899097222277,946055.0578017597,36.395766103691656
0.06859201458333387,945713.5209902978,36.395766103691656
0.070175038194445,945375.3137367426,36.395766103691656
