wave,sigma_ppm
2.203589006734543,128188256207610.67
2.2045925391687113,19101839088973.215
2.2055960716028795,14510098581804.043
2.2065996040370477,19272038958070.6
2.207603136471216,22140423235365.684
2.2086066689053845,9075835070551.467
2.2096102013395527,1915907125033.975
2.2106137337737213,574936425775.4623
2.211617266207889,419232576351.73474
2.2126207986420576,478655736427.2694
2.213624331076226,557227017486.2007
2.214627863510394,465772590015.1915
2.2156313959445626,495084067818.745
2.2166349283787303,494355654426.2437
2.217638460812899,381140927288.5878
2.218641993247067,280502546911.74774
2.2196455256812353,211895446335.05704
2.220649058115404,162780204985.17496
2.2216525905495716,147078213340.56253
2.2226561229837403,128717802810.39029
2.2236596554179084,95696110956.72583
2.2246631878520766,52687884132.59865
2.2256667202862452,25158478549.317577
2.226670252720413,14950713083.664522
2.2276737851545816,16328435598.387714
2.2286773175887498,28664283601.188667
2.229680850022918,40895342878.71206
2.2306843824570866,40846000116.74426
2.2316879148912547,34037601348.453236
2.232691447325423,24845424841.227703
2.233694979759591,16727495322.563038
2.2346985121937593,11289401983.81842
2.235702044627928,8817236600.505634
2.236705577062096,7610878319.874542
2.2377091094962642,7219074300.44002
2.2387126419304324,8483681765.863748
2.2397161743646006,13405495092.242031
2.240719706798769,19412887558.74871
2.2417232392329374,22257911220.928566
2.2427267716671055,20081143809.62574
2.2437303041012737,13094505253.327324
2.2447338365354423,7211485222.514967
2.2457373689696105,4376014304.045461
2.2467409014037787,4450014965.682508
2.247744433837947,8421164724.853742
2.248747966272115,16357845638.34926
2.2497514987062837,18856368781.9597
2.250755031140452,16930790778.742838
2.2517585635746205,11334043176.95211
2.252762096008788,6214381435.705722
2.253765628442957,3704652137.4111404
2.254769160877125,3661827614.1113048
2.255772693311293,6206397575.422774
2.2567762257454618,9462844067.829561
2.2577797581796295,8688253174.482393
2.258783290613798,6938433998.56147
2.2597868230479663,4572351001.591281
2.2607903554821345,2423937337.3981185
2.261793887916303,1286720698.708886
2.262797420350471,962041684.0245744
2.2638009527846394,886985648.9961773
2.2648044852188076,887513916.2578269
2.265808017652976,936299457.8135233
2.2668115500871444,1067251659.4618747
2.267815082521312,1180338891.1163285
2.2688186149554808,1186315184.3384273
2.269822147389649,1060146812.234144
2.270825679823817,819377066.810551
2.2718292122579857,552937079.9205283
2.2728327446921535,374024074.17975515
2.273836277126322,341858691.3834008
2.2748398095604903,533096179.65869683
2.2758433419946584,1000980561.6412491
2.276846874428827,1452615971.0653598
2.2778504068629952,1404252835.705749
2.2788539392971634,970607454.7950563
2.2798574717313316,508630335.1344225
2.2808610041654998,272031611.50369704
2.2818645365996684,218059644.7861315
2.2828680690338365,303376537.47274184
2.2838716014680047,502396505.57781106
2.284875133902173,698357454.1655111
2.2858786663363415,706932403.10496
2.2868821987705097,559174753.4328203
2.287885731204678,362432756.0250528
2.288889263638846,224280977.29422548
2.289892796073014,173602590.43941006
2.290896328507183,179657877.5481427
2.291899860941351,201618024.22352672
2.292903393375519,225760005.32410136
2.2939069258096874,241956528.25013918
2.294910458243856,243092108.08462596
2.295913990678024,235747446.5566972
2.2969175231121923,222536603.71289918
2.297921055546361,196436782.54184872
2.2989245879805287,160411602.13051888
2.2999281204146973,132576713.45048484
2.3009316528488655,123677474.52411714
2.3019351852830336,155840241.0358321
2.3029387177172023,239438232.76456457
2.30394225015137,417622958.26596975
2.3049457825855386,648783119.2548406
2.305949315019707,699078175.6904352
2.306952847453875,540033423.4320863
2.3079563798880436,314586725.3392535
2.3089599123222113,171848854.6120117
2.30996344475638,103872297.15736309
2.310966977190548,97179643.93687615
2.3119705096247163,150315459.88948008
2.312974042058885,221048576.72806928
2.3139775744930526,216784797.25610396
2.3149811069272213,153885064.32036325
2.3159846393613894,85423523.23448192
2.3169881717955576,40932585.76292252
2.3179917042297262,20259941.575690433
2.3189952366638944,15381077.095778296
2.3199987690980626,16429781.867244663
2.3210023015322307,18861286.658270806
2.322005833966399,20705372.550677735
2.3230093664005675,19687195.263634015
2.3240128988347357,16429318.41913856
2.325016431268904,13087959.881548613
2.326019963703072,10319018.120575147
2.3270234961372402,8286640.413144102
2.328027028571409,6855303.735963589
2.329030561005577,5843854.188881067
2.330034093439745,5306604.60131355
2.3310376258739134,5423486.3061797945
2.332041158308082,6287971.921404394
2.33304469074225,8167871.476146418
2.3340482231764184,10013133.97081459
2.3350517556105865,10012977.22420676
2.336055288044755,7543382.620545991
2.3370588204789233,4947652.071946673
2.3380623529130915,3376451.511377155
2.33906588534726,2583187.8598625874
2.340069417781428,2762608.537303256
2.3410729502155965,4275978.603554148
2.3420764826497646,6775497.356629221
2.343080015083933,8893384.849305034
2.3440835475181014,7956777.9030844085
2.345087079952269,5264821.24554901
2.346090612386438,3200142.5012404756
2.347094144820606,2037142.223214899
2.348097677254774,1711567.438958929
2.3491012096889428,1775538.9188271048
2.3501047421231105,1993396.8432789843
2.351108274557279,2236053.8699766686
2.3521118069914473,2335516.8764591673
2.3531153394256155,2122514.8840521383
2.354118871859784,1749827.9878448155
2.355122404293952,1403411.2650823835
2.3561259367281204,1141417.6739195024
2.3571294691622886,959559.3072601277
2.358133001596457,845329.4643393956
2.3591365340306254,764281.0365337045
2.3601400664647936,702625.1056321275
2.3611435988989617,659421.1892453721
2.36214713133313,625605.6446516438
2.363150663767298,592579.4305476093
2.3641541962014667,549304.1077308414
2.365157728635635,489523.2403594973
2.366161261069803,411990.14883351285
2.3671647935039712,341773.8347363948
2.3681683259381394,287305.3991976393
2.369171858372308,250500.39948406583
2.370175390806476,226621.19569864974
2.3711789232406444,211906.81544092053
2.3721824556748126,199956.15005994437
2.373185988108981,185050.77281268348
2.3741895205431494,163742.7179209829
2.3751930529773175,141497.82631544294
2.3761965854114857,120822.19041860539
2.377200117845654,103921.04522729921
2.3782036502798225,91410.55303926622
2.3792071827139907,82706.09725182671
2.3802107151481593,75646.40034101106
2.381214247582327,69416.20741474153
2.3822177800164956,63821.46743344983
2.383221312450664,58228.70776518131
2.384224844884832,51253.99070438024
2.3852283773190006,44677.38800158927
2.3862319097531683,39019.89351211712
2.387235442187337,33999.89946425675
2.388238974621505,29899.225678774805
2.3892425070556733,26519.148795221554
2.390246039489842,23530.22326585646
2.3912495719240097,20929.54327295331
2.3922531043581783,18634.57422197161
2.3932566367923465,16561.699980773523
2.3942601692265146,14749.060496104734
2.3952637016606833,13157.796769599556
2.396267234094851,11725.373764756585
2.3972707665290196,10477.022632390635
2.398274298963188,9379.274842860756
2.399277831397356,8426.81480420729
2.4002813638315246,7616.92320393799
2.4012848962656923,6891.311052641747
2.402288428699861,6269.699158587519
2.403291961134029,5723.500651032706
2.4042954935681973,5231.14816703987
2.405299026002366,4792.414086759788
2.406302558436534,4398.260471097408
2.4073060908707022,4051.9908270350425
2.4083096233048704,3739.135721205732
2.4093131557390386,3459.1631183811655
2.410316688173207,3217.062787585487
2.4113202206073754,3001.862898303993
2.4123237530415436,2815.125580634976
2.4133272854757117,2671.4636431892477
2.4143308179098804,2535.444750487655
2.4153343503440485,2364.457217343735
2.4163378827782167,2203.0327964593944
2.417341415212385,2054.2175464025277
2.418344947646553,1924.168178358341
2.4193484800807217,1808.6959758244286
2.42035201251489,1699.6465443805582
2.4213555449490585,1599.0495976072755
2.422359077383226,1509.0554024590992
2.423362609817395,1425.292350350656
2.424366142251563,1346.297312667226
2.425369674685731,1273.8520048514445
2.4263732071199,1205.7250652153432
2.4273767395540675,1142.5824872146077
2.428380271988236,1084.317086749091
2.4293838044224043,1029.144650268699
2.4303873368565725,980.1106705323685
2.431390869290741,935.5534211458927
2.432394401724909,894.2206787208306
2.4333979341590775,859.0240286764639
2.4344014665932456,824.8192124674091
2.435404999027414,792.0970902335453
2.4364085314615824,764.1461572335222
2.43741206389575,740.7129226353796
2.4384155963299188,716.5754762125085
2.439419128764087,693.5917684569657
2.440422661198255,675.1074735041854
2.4414261936324237,659.0695792825985
2.4424297260665915,644.8885120837509
2.44343325850076,633.6325679917011
2.4444367909349283,625.2913862672648
2.4454403233690964,619.7563778413215
2.446443855803265,616.9101822782026
2.4474473882374332,609.7599558285226
2.4484509206716014,600.7271641682562
2.4494544531057696,594.3592637679782
2.4504579855399378,589.3825771383384
2.4514615179741064,584.6245989569293
2.4524650504082746,581.5367457670346
2.4534685828424427,580.5838022772344
2.454472115276611,579.5245230657197
2.455475647710779,579.4645032441865
2.4564791801449477,578.8092694017375
2.457482712579116,575.8267887011463
2.458486245013284,571.1256114814506
2.4594897774474522,568.7261072219669
2.460493309881621,567.2825764193223
2.461496842315789,567.2835593862668
2.4625003747499576,567.8998163498031
2.4635039071841254,565.5072360010529
2.464507439618294,564.292036085143
2.465510972052462,563.2624346510378
2.4665145044866303,561.5933376737112
2.467518036920799,561.0586643941585
2.4685215693549667,560.3368539713761
2.4695251017891353,559.0626567974596
2.4705286342233035,558.6548122999735
2.4715321666574717,559.0831516518546
2.4725356990916403,559.5761329296689
2.473539231525808,559.1961132178454
2.4745427639599766,556.8129341703842
2.475546296394145,555.7923672544932
2.476549828828313,554.4101816988529
2.4775533612624816,555.8759619960022
2.4785568936966493,561.9266034780514
2.479560426130818,565.5530858116098
2.480563958564986,565.4856319812332
2.4815674909991543,564.4253772421516
2.482571023433323,563.2037062075576
2.4835745558674907,557.1988067024901
2.4845780883016593,554.8445990108277
2.4855816207358274,557.6273661911938
2.4865851531699956,559.9451688854483
2.4875886856041642,554.2812220109867
2.488592218038332,550.1042284758457
2.4895957504725006,547.3922917971331
2.4905992829066688,546.1654399410838
2.491602815340837,545.5406600144432
2.4926063477750056,544.8651381658776
2.4936098802091737,543.6787158953105
2.494613412643342,542.7997929628685
2.49561694507751,541.7287465098724
2.4966204775116783,541.4105866438147
2.497624009945847,541.277154827084
2.498627542380015,541.5892218426316
2.4996310748141832,543.3153172341908
2.5006346072483514,543.1714372393649
2.50163813968252,542.1830927689406
2.502641672116688,542.4393359872353
2.5036452045508564,542.4772552081483
2.5046487369850245,541.567504621556
2.505652269419193,540.6265709165386
2.5066558018533613,541.0750258077783
2.5076593342875295,541.5485304095333
2.508662866721698,540.9450039053115
2.509666399155866,541.8071911267182
2.5106699315900345,543.9411368911431
2.5116734640242027,544.8893685205397
2.512676996458371,544.6886451622125
2.5136805288925395,544.217674737831
2.514684061326707,543.659031983684
2.515687593760876,542.1545390240751
2.516691126195044,541.5635328989104
2.517694658629212,542.2881176556627
2.5186981910633808,541.4729014135343
2.5197017234975485,540.1907221484408
2.520705255931717,539.331889762107
2.5217087883658853,539.1412542343135
2.5227123208000535,539.2938911281971
2.523715853234222,539.5956587360373
2.52471938566839,538.9092273397498
